"id_film";"url";"titre";"date_sortie";"duree";"genre";"nationalite";"type_film";"reprise";"couleur";"recompenses";"note_presse";"note_spectateurs"
"145369";"http://www.allocine.fr/film/fichefilm_gen_cfilm=145369.html";"A la recherche de Beethoven";"2016-12-01";"139";"Documentaire";"britannique";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"243983";"http://www.allocine.fr/film/fichefilm_gen_cfilm=243983.html";"A la recherche de Chopin";"2016-12-01";"115";"Documentaire";"britannique";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"111093";"http://www.allocine.fr/film/fichefilm_gen_cfilm=111093.html";"A la recherche de Mozart";"2016-12-01";"128";"Documentaire";"britannique";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"243762";"http://www.allocine.fr/film/fichefilm_gen_cfilm=243762.html";"A la recherche de Haydn";"2016-12-01";"102";"Documentaire";"britannique";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"242046";"http://www.allocine.fr/film/fichefilm_gen_cfilm=242046.html";"L'Ascension des Kray";"2016-12-03";"115";"Policier";"britannique";"Long-métrage";FALSE;"Couleur";NA;NA;"2,9"
"251659";"http://www.allocine.fr/film/fichefilm_gen_cfilm=251659.html";"Jésus, Michael Lonsdale et ses amis";"2016-12-06";"52";"Documentaire";"français";"Long-métrage";FALSE;"Couleur";NA;NA;NA
"240944";"http://www.allocine.fr/film/fichefilm_gen_cfilm=240944.html";"Demain Tout Commence";"2016-12-07";"118";"Comédie";"français";"Long-métrage";FALSE;"Couleur";"2 prix";"3,2";"4,3"
"239764";"http://www.allocine.fr/film/fichefilm_gen_cfilm=239764.html";"Papa Ou maman 2";"2016-12-07";"90";"Comédie";"français";"Long-métrage";FALSE;"Couleur";NA;"3,3";"3,7"
"239043";"http://www.allocine.fr/film/fichefilm_gen_cfilm=239043.html";"Sex Doll";"2016-12-07";"102";"Drame";"français";"Long-métrage";FALSE;"Couleur";NA;"2,5";"2,2"
"241700";"http://www.allocine.fr/film/fichefilm_gen_cfilm=241700.html";"Baccalauréat";"2016-12-07";"128";"Drame";"roumain";"Long-métrage";FALSE;"Couleur";"1 prix et 5 nominations";"3,9";"3,4"
